2026-05-22 10:05:22.661 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] feature_names unchanged (8d1948d9824f)
2026-05-22 10:05:22.679 | DEBUG    | prospective_validation.integrity:ensure_unchanged:124 | [integrity] xgb_feature_names_sunf unchanged (62724be6ab8f)
2026-05-22 10:05:47.435 | INFO     | prospective_validation.frozen_model_predictor:predict_ndvi_series:146 | [predictor] produced 336 predictions (2024-01-30 → 2024-12-30)
2026-05-22 10:05:47.460 | INFO     | prospective_validation.alerts:evaluate:211 | [alerts] EVR_01: generated 256 alerts (38 critical, 117 warn, 101 info)
2026-05-22 10:06:13.772 | DEBUG    | prospective_validation.audit:audited:94 | [audit] era5_cds OK in 385.65s (cache_hit=False)
2026-05-22 10:06:13.774 | DEBUG    | prospective_validation.cache:put:99 | [cache] PUT era5_cds_month 73654b2cc91c (2624 bytes)
2026-05-22 10:12:42.447 | DEBUG    | prospective_validation.logging_setup:configure_logging:56 | Loguru configured: file=C:\Users\Melih Kalkan\Desktop\Trak-AI_KDS\logs\flov.log, rotation=100 MB
2026-05-22 10:14:43.377 | DEBUG    | prospective_validation.audit:audited:94 | [audit] era5_cds OK in 509.60s (cache_hit=False)
2026-05-22 10:14:43.379 | DEBUG    | prospective_validation.cache:put:99 | [cache] PUT era5_cds_month 2d0e029e8b91 (2580 bytes)
2026-05-22 10:23:15.774 | DEBUG    | prospective_validation.audit:audited:94 | [audit] era5_cds OK in 512.39s (cache_hit=False)
2026-05-22 10:23:15.779 | DEBUG    | prospective_validation.cache:put:99 | [cache] PUT era5_cds_month 8bc8f782fd56 (2624 bytes)
2026-05-22 10:31:41.300 | DEBUG    | prospective_validation.audit:audited:94 | [audit] era5_cds OK in 505.52s (cache_hit=False)
2026-05-22 10:31:41.302 | DEBUG    | prospective_validation.cache:put:99 | [cache] PUT era5_cds_month 7d7928097d8b (2580 bytes)
2026-05-22 10:40:05.213 | DEBUG    | prospective_validation.audit:audited:94 | [audit] era5_cds OK in 503.91s (cache_hit=False)
2026-05-22 10:40:05.216 | DEBUG    | prospective_validation.cache:put:99 | [cache] PUT era5_cds_month 3ddcde37b5c9 (2624 bytes)
2026-05-22 10:48:30.036 | DEBUG    | prospective_validation.audit:audited:94 | [audit] era5_cds OK in 504.82s (cache_hit=False)
2026-05-22 10:48:30.040 | DEBUG    | prospective_validation.cache:put:99 | [cache] PUT era5_cds_month ef5c17cc9a85 (2624 bytes)
2026-05-22 10:56:59.346 | DEBUG    | prospective_validation.audit:audited:94 | [audit] era5_cds OK in 509.30s (cache_hit=False)
2026-05-22 10:56:59.352 | DEBUG    | prospective_validation.cache:put:99 | [cache] PUT era5_cds_month 31ad76659d0b (2580 bytes)
2026-05-22 11:05:25.883 | DEBUG    | prospective_validation.audit:audited:94 | [audit] era5_cds OK in 506.53s (cache_hit=False)
2026-05-22 11:05:25.887 | DEBUG    | prospective_validation.cache:put:99 | [cache] PUT era5_cds_month 81fff8fb3f3e (2624 bytes)
2026-05-22 11:13:55.569 | DEBUG    | prospective_validation.audit:audited:94 | [audit] era5_cds OK in 509.68s (cache_hit=False)
2026-05-22 11:13:55.571 | DEBUG    | prospective_validation.cache:put:99 | [cache] PUT era5_cds_month 199294b45484 (2580 bytes)
2026-05-22 11:20:21.533 | DEBUG    | prospective_validation.audit:audited:94 | [audit] era5_cds OK in 385.96s (cache_hit=False)
